ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
71644077;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644019;0;0;0;0;0.84;383.4;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71644140;40.2;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644107;0;0;0;0;0.83;378.875;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71644202;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644171;0;0;0;0;0.828;377.735;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71644265;40.2;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644233;0;0;0;0;0.828;377.735;0;0.06;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71644358;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644299;0;0;0;0;0.828;377.735;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71644421;40.2;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644388;0;0;0;0;0.813;370.825;0;0.02;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71644483;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644452;0;0;0;0;0.845;385.64;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71644577;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644519;0;0;0;0;0.838;382.275;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71644640;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644607;0;0;0;0;0.833;380.012;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71644702;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644671;0;0;0;0;0.825;376.591;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71644765;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644733;0;0;0;0;0.835;381.145;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71644858;40.2;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644798;0;0;0;0;0.833;380.012;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71644921;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644888;0;0;0;0;0.825;376.591;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71644983;40.2;25.7;0;0;0;24.6;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71644952;0;0;0;0;0.828;377.735;0;0.05;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71645077;40.2;25.8;0;0;0;24.6;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71645019;0;0;0;0;0.83;378.875;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71645139;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71645107;0;0;0;0;0.838;382.275;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71645202;40.4;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71645171;0;0;0;0;0.825;376.591;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71645264;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71645233;0;0;0;0;0.825;376.591;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71645358;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71645297;0;0;0;0;0.835;381.145;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71645421;40.3;25.8;0;0;0;24.5;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71645388;0;0;0;0;0.84;383.4;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71645483;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71645452;0;0;0;0;0.825;376.591;0;0.06;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71645577;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71645517;0;0;0;0;0.835;381.145;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71645640;40.3;25.7;0;0;0;24.6;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71645607;0;0;0;0;0.828;377.735;0;0.05;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71645702;40.2;25.7;0;0;0;24.6;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71645671;0;0;0;0;0.838;382.275;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71645765;40.2;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71645733;0;0;0;0;0.825;376.591;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71645858;40.2;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71645801;0;0;0;0;0.83;378.875;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71645921;40.2;25.7;0;0;0;24.6;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71645888;0;0;0;0;0.833;380.012;0;0.05;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71645983;40.3;25.7;0;0;0;24.6;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71645952;0;0;0;0;0.84;383.4;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71646077;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71646018;0;0;0;0;0.83;378.875;0;0.05;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71646139;40.2;25.7;0;0;0;24.5;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71646108;0;0;0;0;0.83;378.875;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71646202;40.4;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71646171;0;0;0;0;0.835;381.145;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71646264;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71646233;0;0;0;0;0.835;381.145;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71646358;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71646299;0;0;0;0;0.835;381.145;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71646421;40.2;25.7;0;0;0;24.6;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71646388;0;0;0;0;0.825;376.591;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71646513;40.3;25.7;0;0;0;24.6;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71646452;0;0;0;0;0.84;383.4;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71646577;40.2;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71646543;0;0;0;0;0.835;381.145;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71646639;40.3;25.8;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71646608;0;0;0;0;0.83;378.875;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
